City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
469,Socastee,US,33.6835,-78.9984,47.07,78,0,0.0,clear sky
470,Ixtapa,MX,20.7,-105.2,78.22,80,1,5.01,clear sky
471,Ravar,IR,31.2656,56.8055,62.44,39,95,3.91,overcast clouds
472,Zeya,RU,53.75,127.2667,11.82,95,91,3.65,overcast clouds
473,Henties Bay,NA,-22.116,14.2845,59.31,91,70,5.57,broken clouds
474,Dilla,ET,6.41,38.31,59.83,76,56,3.51,broken clouds
475,La Plata,AR,-34.9215,-57.9545,76.03,75,92,13.71,overcast clouds
476,Shingu,JP,33.7333,135.9833,58.64,55,10,3.89,clear sky
477,Kropotkin,RU,45.4375,40.5756,58.53,48,97,19.86,overcast clouds
478,Monte Azul,BR,-15.155,-42.8747,71.4,81,99,4.41,overcast clouds
479,Colares,PT,38.7992,-9.4469,61.32,94,83,7.0,broken clouds
480,Doka,SD,13.5167,35.7667,75.96,33,2,9.17,clear sky
481,Gaozhou,CN,21.9392,110.8461,73.42,77,0,4.36,clear sky
482,Maceio,BR,-9.6658,-35.7353,74.64,94,20,6.91,few clouds
483,Shelburne,CA,44.0787,-80.2041,27.39,90,85,7.78,snow
484,Sola,VU,-13.8833,167.55,82.26,71,13,10.22,few clouds
485,Rohri,PK,27.6922,68.8951,62.47,88,0,0.0,mist
486,Ceyhan,TR,37.0247,35.8175,58.84,86,75,2.59,broken clouds
487,Jiangyou,CN,31.7667,104.7167,56.34,75,94,3.18,overcast clouds
488,Katobu,ID,-4.9408,122.5276,81.36,83,100,1.52,overcast clouds
489,Ajdabiya,LY,30.7554,20.2263,66.58,31,1,9.98,clear sky
490,Batagay,RU,67.6333,134.6333,-27.9,91,84,3.31,broken clouds
491,Severodvinsk,RU,64.5635,39.8302,23.11,88,100,7.52,overcast clouds
492,Deputatskiy,RU,69.3,139.9,-27.65,99,24,2.1,few clouds
493,Cartagena,CO,10.3997,-75.5144,80.22,94,75,3.44,broken clouds
494,Kvareli,GE,41.9524,45.8151,50.07,53,4,5.53,clear sky
495,Arman,RU,59.7,150.1667,-5.4,84,73,8.75,broken clouds
496,Hereford,GB,52.0568,-2.7148,50.74,78,100,8.01,overcast clouds
497,Umm Lajj,SA,25.0213,37.2685,72.54,61,100,8.59,overcast clouds
498,Beba,CU,22.4437,-79.7253,75.47,91,42,7.16,light rain
499,Sendhwa,IN,21.6833,75.1,62.6,48,0,5.46,clear sky
500,Bandipur,NP,27.9333,84.4167,48.63,82,0,2.66,clear sky
501,Arraial Do Cabo,BR,-22.9661,-42.0278,71.74,74,0,8.23,clear sky
502,Itarema,BR,-2.9248,-39.9167,79.41,76,23,14.9,few clouds
503,Olafsvik,IS,64.8945,-23.7142,44.76,85,55,15.59,broken clouds
504,Prescott,US,34.54,-112.4685,56.97,17,2,1.99,clear sky
505,Chapais,CA,49.7834,-74.8492,19.18,92,100,8.08,light snow
506,Maltahohe,NA,-24.8333,16.9833,71.42,17,87,5.37,overcast clouds
507,Port-Gentil,GA,-0.7193,8.7815,76.96,94,40,3.44,scattered clouds
508,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.02,80,95,0.87,overcast clouds
509,Fengzhen,CN,40.4394,113.1536,37.6,51,100,4.18,overcast clouds
510,Andenes,NO,69.3143,16.1194,33.78,69,82,11.5,broken clouds
511,Vao,NC,-22.6667,167.4833,75.87,76,100,12.44,overcast clouds
512,Tilichiki,RU,60.4667,166.1,5.31,95,72,6.17,broken clouds
513,Bambanglipuro,ID,-7.95,110.2833,76.84,88,100,3.83,overcast clouds
514,Kargasok,RU,59.0556,80.8572,-9.72,95,30,6.02,scattered clouds
515,Irasan,PH,8.526,123.206,79.81,88,99,6.38,overcast clouds
516,Moranbah,AU,-22.0016,148.0466,82.29,39,96,9.69,overcast clouds
517,Kallithea,GR,37.95,23.7,66.61,85,20,1.14,few clouds
518,Casper,US,42.8666,-106.3131,13.71,75,40,10.36,scattered clouds
519,Bowen,AU,-20.0167,148.2333,80.82,67,99,12.88,overcast clouds
520,Dingle,PH,10.9995,122.6711,78.15,90,100,10.98,overcast clouds
521,Xuanhua,CN,40.6103,115.0447,42.03,49,100,5.75,overcast clouds
522,Belmonte,BR,-15.8631,-38.8828,75.27,90,100,4.16,moderate rain
523,Sinjar,IQ,36.3209,41.8754,52.48,76,1,2.59,clear sky
524,Severnyy,RU,50.677,36.5532,24.84,93,100,11.18,overcast clouds
525,Laranjeiras Do Sul,BR,-25.4078,-52.4161,59.56,72,0,2.98,clear sky
526,Dasoguz,TM,41.8363,59.9666,40.95,70,100,6.91,overcast clouds
527,Asnaes,DK,55.8123,11.5013,43.14,82,8,1.01,clear sky
528,Ponnani,IN,10.767,75.9252,74.52,89,25,6.35,scattered clouds
529,Luorong,CN,24.4058,109.6086,66.96,89,97,2.89,overcast clouds
530,Kutum,SD,14.2,24.6667,60.57,31,1,6.49,clear sky
531,Purpe,RU,64.4803,76.6897,8.11,78,100,29.04,overcast clouds
532,Mehamn,NO,71.0357,27.8492,39.11,100,75,2.3,light intensity drizzle
533,Ludvika,SE,60.1496,15.1878,30.78,81,100,7.92,overcast clouds
534,Siirt,TR,37.9326,41.9403,44.56,85,14,2.08,few clouds
535,Xinzhou,CN,38.4092,112.7333,44.67,54,100,2.06,overcast clouds
536,Kirakira,SB,-10.4544,161.9205,81.23,81,99,7.78,light rain
537,Ibia,BR,-19.4783,-46.5389,70.92,71,82,3.44,broken clouds
538,Kikwit,CD,-5.041,18.8162,69.24,99,100,2.55,overcast clouds
539,Sangar,RU,63.9242,127.4739,-8.46,94,100,12.08,overcast clouds
540,Port Hedland,AU,-20.3167,118.5667,77.05,41,0,16.11,clear sky
541,Tourlaville,FR,49.6383,-1.5664,51.22,81,75,18.41,broken clouds
542,Nizhnyaya Omka,RU,55.4338,74.9426,-2.0,98,32,2.48,scattered clouds
543,Northam,GB,51.0333,-4.2167,52.61,80,29,19.24,scattered clouds
544,Kemlya,RU,54.6963,45.2424,28.38,94,100,13.85,light snow
545,Innisfail,AU,-17.5333,146.0333,84.94,61,8,5.5,clear sky
546,Seminole,US,28.7086,-81.2081,62.22,70,0,5.75,clear sky
547,Chute-Aux-Outardes,CA,49.1168,-68.399,26.58,93,40,5.75,scattered clouds
548,Koumac,NC,-20.5667,164.2833,81.45,61,93,6.96,overcast clouds
549,Lai,TD,9.3952,16.2989,72.68,34,64,3.62,broken clouds
550,Kaeo,NZ,-35.1,173.7833,71.33,96,66,11.95,broken clouds
551,Kahului,US,20.8947,-156.47,87.82,71,20,19.57,few clouds
552,Dudinka,RU,69.4058,86.1778,-2.38,93,100,32.41,light snow
553,Hamilton,US,39.1834,-84.5333,31.44,71,100,9.22,overcast clouds
554,Witu,KE,-2.3889,40.4382,75.36,90,99,3.09,light rain
555,Nikolayevsk-Na-Amure,RU,53.1406,140.73,19.89,77,61,2.37,broken clouds
556,Davila,PH,18.4726,120.5763,78.78,73,83,4.72,broken clouds
557,Dibrugarh,IN,27.4833,94.9,57.06,83,1,3.98,clear sky
558,Namibe,AO,-15.1961,12.1522,68.99,83,27,3.83,scattered clouds
559,Manggar,ID,-2.8833,108.2667,80.92,79,100,3.74,overcast clouds
560,Guadalupe Y Calvo,MX,26.1,-106.9667,49.26,52,2,3.53,clear sky
561,Pakdasht,IR,35.4752,51.6807,51.8,62,55,5.44,broken clouds
562,Balingasay,PH,16.3573,119.8564,82.24,77,96,12.33,overcast clouds
563,Asfi,MA,32.2994,-9.2372,66.0,85,28,3.0,scattered clouds
564,Orsha,BY,54.5153,30.4053,23.45,86,98,10.4,overcast clouds
565,Svetlaya,RU,46.5389,138.3297,30.72,62,100,1.95,overcast clouds
566,Taoudenni,ML,22.6783,-3.9836,73.36,15,0,9.08,clear sky
567,Auki,SB,-8.7676,160.7034,83.39,75,85,2.68,overcast clouds
568,Aripuana,BR,-9.1667,-60.6333,74.52,91,97,2.39,overcast clouds
