City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Kouroussa,GN,72.16,overcast clouds,10.65,-9.8833,Hotel Tando Plus
611,Omboue,GA,73.94,light rain,-1.5746,9.2618,Hotel Olako
612,Payakumbuh,ID,70.56,overcast clouds,-0.2202,100.6308,Dalimo Homestay
613,Ikwiriri,TZ,72.14,broken clouds,-7.9562,38.9716,Greenland lodge
617,Karaton,ID,75.94,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
619,Aguada De Pasajeros,CU,75.69,moderate rain,22.385,-80.8508,CASA MAMÁ
631,Xuddur,SO,71.6,clear sky,4.1213,43.8894,Banjanay Hotel
632,Key Largo,US,75.99,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
638,Cordoba,AR,87.76,smoke,-31.4135,-64.1811,Hotel Sussex
642,Rosarito,MX,74.41,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
643,Coahuayana,MX,79.39,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
646,Yulara,AU,81.43,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
651,Bartica,GY,80.92,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
653,Pozo Colorado,PY,74.37,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
657,Wad Madani,SD,73.08,clear sky,14.4012,33.5199,فندق يوغسلافيا
659,Dangriga,BZ,78.78,few clouds,16.9692,-88.2321,Chaleanor Hotel
660,Matara,LK,74.71,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
