City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Chuy,UY,2022-11-09 18:10:48,-33.6971,-53.4616,69.58,56,0,11.88
89,Souillac,MU,2022-11-09 18:11:49,-20.5167,57.5167,73.78,78,40,5.75
90,Puerto Palomas,MX,2022-11-09 18:11:49,31.7667,-107.6167,69.96,28,0,18.7
91,Bodden Town,KY,2022-11-09 18:09:07,19.2833,-81.25,84.99,65,100,9.31
92,Riviere-Au-Renard,CA,2022-11-09 18:11:49,48.9957,-64.3971,37.69,55,24,20.76
93,Turan,VN,2022-11-09 18:06:58,16.0678,108.2208,75.18,88,20,1.14
94,Vargashi,RU,2022-11-09 18:11:50,55.3556,65.8467,27.03,92,100,11.59
95,Luderitz,NA,2022-11-09 18:11:50,-26.6481,15.1594,63.25,67,98,22.44
96,Fortuna,US,2022-11-09 18:11:50,40.5982,-124.1573,53.92,93,0,5.75
97,Cervo,ES,2022-11-09 18:11:51,43.6702,-7.4101,58.96,87,23,4.05
98,Provideniya,RU,2022-11-09 18:11:51,64.3833,-173.3,23.68,91,100,3.6
99,Spassk,RU,2022-11-09 18:11:51,52.747,87.7545,25.47,92,94,4.72
100,Bambous Virieux,MU,2022-11-09 18:11:52,-20.3428,57.7575,73.65,78,40,5.75
101,Broome,US,2022-11-09 18:11:52,42.2506,-75.833,58.01,30,0,10.36
102,Aden,YE,2022-11-09 18:11:52,12.7794,45.0367,80.64,83,2,17.96
103,Methven,NZ,2022-11-09 18:11:53,-43.6333,171.65,45.91,99,100,1.99
104,Mosty U Jablunkova,CZ,2022-11-09 18:11:53,49.5274,18.7542,51.67,94,70,4.65
105,Torbay,CA,2022-11-09 18:11:53,47.6666,-52.7314,39.58,74,75,29.93
106,Caramay,PH,2022-11-09 18:11:54,10.1815,119.236,79.59,89,87,4.61
107,Brighton,GB,2022-11-09 18:11:54,50.8284,-0.1395,57.31,83,20,11.5
108,Kushalgarh,IN,2022-11-09 18:11:54,23.199,74.4507,74.41,40,0,1.77
109,Hithadhoo,MV,2022-11-09 18:11:55,-0.6,73.0833,82.15,77,91,16.84
110,Zhangye,CN,2022-11-09 18:11:55,38.9342,100.4517,39.92,34,43,1.41
111,Sestri Levante,IT,2022-11-09 18:11:56,44.2732,9.3968,66.63,92,100,3.0
112,Puerto Ayora,EC,2022-11-09 18:11:56,-0.7393,-90.3518,75.16,80,17,5.99
113,Vanavara,RU,2022-11-09 18:11:57,60.34,102.2797,20.1,91,100,10.27
114,Pisco,PE,2022-11-09 18:07:06,-13.7,-76.2167,69.85,68,0,9.22
